title,mantra
Karika Upanishad,प्रणवं हीश्वरं विद्यात्सर्वस्य हृदये स्थितम् ।सर्वव्यापिनमोंकारं मत्वा धीरो न शोचति ।। 1.1.28 ।।
Prasna Upanishad,"प्राणस्येदं वशे सर्वं त्रिदिवे यत्प्रतिष्ठितम्।,मातेव पुत्रान् रक्षस्व श्रीश्च प्रज्ञां च विधेहि न इति।।2.1.13।।,।।इति द्वितीयः प्रश्नः।।"
Katha Upanishad,"यस्मिन्निदं विचिकित्सन्ति मृत्यो यत् सांपराये महति ब्रूहि नस्तत् ।,योऽयं वरो गूढमनुप्रविष्टो नान्यं तस्मान्नचिकेता वृणीते ।। 1.1.29 ।।,               ।। इति प्रथमेऽध्याये प्रथमा वल्ली ।।		"
Svetashvatra Upanishad,"लघुत्वमारोग्यमलोलुपत्वं वर्णप्रसादं स्वरसौष्ठवं च।,गन्धः शुभो मूत्रपुरीषमल्पं योगप्रवृत्तिं प्रथमां वदन्ति।।2.1.13।।"
Brihadaranyaka Upanishad,अथ खलु व्यानमेवोद्गीथमुपासीत यद्वै प्राणिति स प्राणो यदपानिति सोऽपानः ।  अथ यः प्राणापानयोः सन्धिः स व्यानो यो व्यानः सा वाक् ।  तस्मादप्राणन्ननपानन्वाचमभिव्याहरति ।। 1.3.3 ।। 
Mundaka Upanishad,तस्माच्च देवा बहुधा संप्रसूताः साध्या मनुष्याः पशवो वयांसि।  प्राणापानौ व्रीहियवौ तपश्च क्षद्धा सत्यं ब्रह्मचर्यं विधिश्च।।2.1.7।।
Kena Upanishad,तस्माद्वा इन्द्रोऽतितरामिवान्यान्देवान्स ह्येनन्नेदिष्ठं पस्पर्श स ह्येनत्प्रथमो विदांचकार ब्रह्मेति ।। 4.1.3 ।।
Taittiriya Upanishad,असद्वा इदमग्र आसीत्। ततो वै सदजायत। तदात्मान्ँ स्वयमकुरुत। तस्मात्तत्सुकृतंमुच्यत इति। यद्वैतत्सुकृतम्। रसो वै सः। रस्ँह्येवायं लब्ध्वानन्दी भवती। को ह्येवान्यात्कः प्राण्यात्। तदेष आकाश आनन्दो न स्यात्। एष ह्येवानन्दयाति। यदा ह्येवैष एतस्मिन्नदृश्येऽनात्म्येऽनिरुक्तेऽनिलयनेऽभयं प्रतिष्ठां विन्दते। अथ सोऽभयं गतो भवति। यदा ह्येवैष एतस्मिन्नुदरमन्तरं कुरुते। अथ तस्य भयं भवति। तत्त्वेव भयं विदुषोऽमन्वानस्य। तदप्येष श्लोको भवति।।2.7.1।।
Aitereya Upanishad,कोऽयमात्मेति वयमुपास्महे कतरः स आत्मा । येन वा पश्यति येन वा शृणोति येन वा गंधानाजिघ्रति येन वा वाचं व्याकरोति येन वा स्वादु चास्वादु च विजानाति।।1.5.1।।
Karika Upanishad,अमात्रोऽनन्तमात्रश्च द्वैतस्योपशमः शिवः ।ओंकारो विदितो येन स मुनिर्नेतरो जनः ।। 1.1.29 ।।
Prasna Upanishad,अथ हैनं कौसल्यश्चाश्वलायनः पप्रच्छ। भगवन्कुत एष प्राणो जायते कथमायात्यस्मिञ्छरीर आत्मानं वा प्रविभज्य कथं प्रातिष्ठते केनोत्क्रमते कथं बाह्यमभिधत्ते कथमध्यात्ममिति।।3.1.1।।
Katha Upanishad,"अन्यच्छ्रेयोऽन्यदुतैव प्रेयस्ते उभे नानार्थे पुरुष्ँसिनीतः ।,तयोः श्रेय आददानस्य साधुर्भवति हीयतेऽर्थाद्य उ प्रेयो वृणीते ।। 1.2.1 ।।"
Svetashvatra Upanishad,"यथैव बिम्बं मृदयोपलिप्तं तेजोमयं भ्राजते तत्सुधान्तम्।,तद्वात्मतत्वं प्रसमीक्ष्य देही एकः कृतार्थो भवते वीतशोकः।।2.1.14।।"
Brihadaranyaka Upanishad,या वाक्सर्क्तस्मादप्राणन्ननपानन्नृचमभिव्याहरति यर्क्तत्साम तस्मादप्राणन्ननपानन्साम गायति यत्साम स उद्गीथस्तस्मादप्राणन्ननपानन्नुद्गायति ।। 1.3.4 ।। 
Mundaka Upanishad,"सप्त प्राणाः प्रभवन्ति तस्मात्सप्तार्चिषः समिधः सप्त होमाः।  सप्त इमे लोका येषु चरन्ति प्राणा गुहाशया निहिताः सप्त सप्त।।,।।2.1.8।।"
Kena Upanishad,तस्यैष आदेशो यदेतद्विद्युतो व्यद्युतदा3 इतीन्न्यमीमिषदा3 इत्यधिदैवतम् ।। 4.1.4 ।।
Taittiriya Upanishad,"भीषाऽस्माद्वातः पवते। भीषोदेति सूर्यः। भीषाऽस्मादग्निश्चेन्द्रश्च। मृत्युर्धावति पञ्चम इति। सैषाऽऽनन्दस्य मीमा्ँसा , भवति। युवा स्यात्साधु युवाध्यायकः। आशिष्ठो द्रढिष्ठो बलिष्ठः। तस्येयं पृथिवी सर्वा वित्तस्य पूर्णा स्यात्। स एको मानुष आनन्दः। ते ये शतं मानुषा आनन्दाः। स एको मनुष्यगन्धर्वाणामानन्दः। श्रोत्रियस्य चाकामहतस्य। ते ये शतं मनुष्यगन्धर्वाणामानन्दाः। स एको देवगन्धवार्णामानन्दः। श्रोत्रियस्य चाकामहतस्य। ते ये शतं देवगन्धवार्णामानन्दाः। स एक पितृणां चिरलोकलोकानामानन्दः। श्रोत्रियस्य चाकामहतस्य। ते ये शतं पितृणां चिरलोकलोकानामानन्दाः। स एक आजानजानां देवानामानन्दः। श्रोत्रियस्य चाकामहतस्य। ते ये शतमाजानजानां देवानामानन्दाः। स एकः कर्मदेवानाम् देवानामानन्दः। ये कर्मणा देवानपियन्ति। श्रोत्रियस्य चाकामहतस्य। ते ये शतं कर्मदेवानाम् देवानामानन्दाः। स एको देवानामानन्दाः। श्रोत्रियस्य चाकामहतस्य। ते ये शतं देवानामानन्दाः। स एक इन्द्रस्यानन्दः। श्रोत्रियस्य चाकामहतस्य। ते ये शतमिन्द्रस्यानन्दाः। स एको बृहस्पतेरानन्दः। श्रोत्रियस्य चाकामहतस्य। ते ये शतं बृहस्पतेरानन्दाः। स एकः प्रजापतेरानन्दः। श्रोत्रियस्य चाकामहतस्य। ते ये शतं प्रजापतेरानन्दाः। स एको ब्रह्मण आनन्दः। श्रोत्रियस्य चाकामहतस्य। स यश्चायं पुरुषे। यश्चासावादित्ये। स एकः। स य एवंवित्। अस्माल्लोकात्प्रेय। एतमन्नमयमात्मानमुपसंक्रामति। एतं प्राणमयमात्मानमुपसंक्रामति। एतं मनोमयमात्मानमुपसंक्रामति। एतं विज्ञानमयमात्मानमुपसंक्रामति। एतमानन्दमयमात्मानमुपसंक्रामति।  तदप्येष श्लोको भवति।।।2.8.1।।"
Aitereya Upanishad,यदेतत् हृदयं मनश्चैतत्। संज्ञानमाज्ञानं विज्ञानं प्रज्ञानं मेधा दृष्टिर्धृतिर्मतिर्मनीषा जूतिः स्मृतिः संकल्पः क्रतुरसुः कामो वश इति। सर्वाण्येवैतानि प्रज्ञानस्य नामधेयानि भवन्ति।।1.5.2।।
Prasna Upanishad,तस्मै स होवाचातिप्रश्नान्पृच्छसि ब्रह्मिष्ठोऽसीति तस्मात्तेऽहं ब्रवीमि।।3.1.2।।
Karika Upanishad,इति प्रथममागमप्रकरणं संपूर्णम् ।।
Katha Upanishad,"श्रेयश्च प्रेयश्च मनुष्यमेतस्तौ संपरीत्य विविनक्ति धीरः ।,श्रेयो हि धीरोऽभि प्रेयसो वृणीते प्रेयो मन्दो योगक्षेमाद्वृणीते ।। 1.2.2 ।।"
Svetashvatra Upanishad,"यदात्मतत्त्वेन तु ब्रह्मतत्त्वं दीपोपमेनेह युक्तः प्रपश्येत्।,अजं ध्रुवं सर्वतत्त्वैर्विशुद्धं ज्ञात्वा देवं मुच्यते सर्वपाशैः।।2.1.15।।"
Brihadaranyaka Upanishad,"अतो यान्यन्यानि वीर्यवन्ति कर्माणि यथाग्नेर्मन्थनमाजेः सरणं दृढस्य धनुष आयमनमप्राणन्ननपान , स्तानि करोत्येतस्य हेतोर्व्यानमेवोद्गीथमुपासीत ।। 1.3.5 ।।"
Mundaka Upanishad,अतः समुद्रा गिरयश्च सर्वेऽस्मात्स्यन्दन्ते सिन्धवः सर्वरूपाः।  अतश्च सर्वा ओषधयो रसश्च येनैष भूतैस्तिष्ठते ह्यन्तरात्मा।।2.1.9।।
Kena Upanishad,अथाध्यात्मं यदेतद्गच्छतीव च मनोऽनेन चैतदुपस्मरत्यभीक्ष्ण्ँ संकल्पः ।। 4.1.5 ।।
Taittiriya Upanishad,"यतो वाचो निवर्तन्ते। अप्राप्य मनसा सह। आनन्दं ब्रह्मणो विद्वान्। न बिभेति कुतश्चनेति। , एत्ँह , वाव न तपति। , किमह्ँसाधु नाकरवम्। किमहं पापमकरवमिति। स य एवं विद्वानेते आत्मान्ँ स्पृणुते। उभे ह्येवैष एते आत्मान्ँ स्पृणुते। य एवं वेद। इत्युपनिषत्।।2.9.1।।"
Aitereya Upanishad,एष ब्रह्मैष इन्द्र एष प्रजापतिरेते सर्वे देवा इमानि च पञ्च महाभूतानि प़ृथिवी वायुराकाश आपो ज्योतींषीत्येतानीमानि च क्षुद्रमिश्राणीव। बीजानीतराणि चेतराणि चाण्डजानि च जारुजानि च स्वेदजानि चोद्भिज्जानि चाश्वा गावः पुरूषा हस्तिनो यत्किंचेदं प्राणि जङ्गमं च पतत्रि च यच्च स्थावरं सर्वं तत्प्रज्ञानेत्रं प्रज्ञाने प्रतिष्ठितं प्रज्ञानेत्रो लोकः प्रज्ञा प्रतिष्ठा प्रज्ञानं ब्रह्म।।1.5.3।।
Prasna Upanishad,आत्मन एष प्राणो जायते। यथैषा पुरूषे छायैतस्मिन्नेतदाततं मनोकृतेनायात्यस्मिञ्शरीरे।।3.1.3।।
Karika Upanishad,वैतथ्यं सर्वभावानां स्वप्न आहुर्मनीषिणः ।अन्तःस्थानात्तु भावानां संवृतत्वेन हेतुना ।। 2.1.1 ।।
Katha Upanishad,"स त्वं प्रियान् प्रियरूपा्ँश्च कामानभिध्यायन् नचिकेतोऽत्यस्राक्षीः ।,नैता्ँ सृङ्कां वित्तमयीमवाप्तो यस्यां मज्जन्ति बहवो मनुष्याः ।। 1.2.3 ।।"
Svetashvatra Upanishad,"एषो ह देवः प्रदिशोऽनु सर्वाः,   पूर्वो ह जातः स उ गर्भे अन्तः।,स एव जातः स जनिष्यमाणः ,प्रत्यङ्जनांस्तिष्ठति सर्वतोमुखः।।2.1.16।।"
Brihadaranyaka Upanishad,"अथ खलूद्गीथाक्षराण्युपासीतोद्गीथ इति प्राण एवोत्प्राणेन ह्युत्तिष्ठति वाग्गीर्वाचो ह गिर इत्याचक्षतेऽन्नं थमन्ने हीद , सर्व , स्थितम् ।। 1.3.6 ।। "
Mundaka Upanishad,पुरूष एवेदं विश्वं कर्म तपो ब्रह्म परामृतम्।  एतद्यो वेद निहितं गुहायां सोऽविद्याग्रन्थिं विकिरतीह सोम्य।।2.1.10।।
Kena Upanishad,तद्ध तद्वनं नाम तद्वनमित्युपासितव्यं स य एतदेवं वेदाऽभि हैनं सर्वाणि भूतानि संवा़ञ्छन्ति ।। 4.1.6 ।। 
Karika Upanishad,अदीर्घत्वाच्च कालस्य गत्वा देहान्न पश्यति।प्रतिबुद्धश्च वै सर्वस्तस्मिन्देशे न विद्यते ।। 2.1.2 ।।
Taittiriya Upanishad,"भृगुर्वै वारुणिः। वरुणं पितरमुपससार। अधीहि भगवो ब्रह्मेति।तस्मा एतत्प्रोवाच। अन्नं प्राणं चक्षुः श्रोत्रं मनो वाचमिति। त्ँहोवाच , यतो वा इमानि भूतानि जायन्ते। येन जातानि जीवन्ति। यत्प्रयन्त्यभिसंविशन्ति। तद्विजिज्ञासस्व। तद्ब्रह्मेति। स तपोऽतप्यत। स तपस्तप्त्वा।।3.1.1।।,।।इति प्रथमोऽनुवाकः।।"
Aitereya Upanishad,स एतेन प्रज्ञेनात्मनास्माल्लोकादुत्क्रम्यामुष्मिन्स्वर्गे लोके सर्वान्कामानाप्त्वाऽमृतः समभवत् समभवत्। इत्योम्।।1.5.4।।
Prasna Upanishad,यथा सम्राडेवाधिकृतान्विनियुङ्क्ते एतान्ग्रामानेतान्ग्रामानधितिष्ठस्वेत्येवमेवैष प्राण इतरान्प्राणान्पृथक्पृथगेव संनिधत्ते।।3.1.4।।
Katha Upanishad,"दूरमेते विपरीते विषूची अविद्या या च विद्येति ज्ञाता ।,विद्याभीप्सिनं नचिकेतसं मन्ये न त्वा कामा बहवोऽलोलुपन्त ।। 1.2.4 ।।"
Svetashvatra Upanishad,"यो देवोऽग्नौ योऽप्सु यो विश्वं भुवनमाविवेश।,यो ओषधीषु यो वनस्पतिषु तस्मै देवाय नमो नमः।।2.1.17।।"
Brihadaranyaka Upanishad,"द्यौरेवोदन्तरिक्षं गीः पृथिवी थमादित्य एवोद्वायुर्गीरग्निस्थ ,  सा़मवेद एवोद्यजुर्वेदो गीर्ऋग्वेदस्थं दुग्धेऽस्मै वाग्दोहं यो वाचो दोहोऽन्नवानन्नादो भवति य एतान्येवं विद्वानुद्गीथाक्षराण्युपास्त उद्गीथ इति ।। 1.3.7 ।।  "
Mundaka Upanishad,आविः संनिहितं गुहाचरं नाम महत्पदमत्रैतत्समर्पितम्।  एजत्प्राणन्निमिषच्च यदेतज्जानथ सदसद्वरेण्यं परं विज्ञानाद्यद्वरिष्ठं प्रजानाम्।।2.2.1।।
Kena Upanishad,उपनिषदं भो ब्रूहीत्युक्ता त उपनिषद्ब्राह्मीं वाव त उपनिषदमब्रूमेति ।। 4.1.7 ।। 
Karika Upanishad,अभावश्च रथादीनां श्रूयते न्यायपूर्वकम् ।वैतथ्यं तेन वै प्राप्तं स्वप्न आहुः प्रकाशितम् ।। 2.1.3 ।।
Taittiriya Upanishad,"अन्नं ब्रह्मेति व्यजानात्। अन्नाद्ध्येव खल्विमानि भूतानि जायन्ते। अन्नेन जातानि जीवन्ति। अन्नं प्रयन्त्यभिसंविशन्तीति। तद्विज्ञाय। पुनरेव वरुणं पितरमुपससार। अधीहि भगवो ब्रह्मेति। त्ँहोवाच , । तपसा ब्रह्म विजिज्ञासस्व। तपो ब्रह्मेति। स तपोऽतप्यत। स तपस्तप्त्वा।।3.2.1।।"
Prasna Upanishad,पायूपस्थेऽपानं चक्षुःश्रोत्रे मुखनासिकाभ्यां प्राणः स्वयं प्रतिष्ठते मध्ये तु समानः। एष ह्येतद्धुतमन्नं समं नयति तस्मादेताः सप्तार्चिषो भवन्ति।।3.1.5।।
Katha Upanishad,"अविद्यायामन्तरे वर्तमानाः स्वयं धीराः पण्डितंमन्यमानाः ।,दन्द्रम्यमाणाः परियन्ति मूढा अन्धेनैव नीयमाना यथाऽन्धाः ।। 1.2.5 ।।"
Svetashvatra Upanishad,"य एको जालवानीशत ईशनीभिः सर्वांल्लोकानीशत ईशनीभिः।,य एवैक उद्भवे सम्भवे च य एतद्विदुरमृतास्ते भवन्ति।।3.1.1।।"
Brihadaranyaka Upanishad,अथ खल्वाशीः समृद्धिरुपसरणानीत्युपासीत येन साम्ना स्तोष्यन्स्यात्तत्सामोपधावेत् ।। 1.3.8 ।। 
Mundaka Upanishad,यदर्चिमद्यदणुभ्योऽणु च यस्िमँल्लोका निहिता लोकिनश्च तदेतदक्षरं ब्रह्म स प्राणस्तदुवाङ्मनः।  तदेतत्सत्यं तदमृतं तद्वेद्धव्यं सोम्य विद्धि।।2.2.2।।
Kena Upanishad,तस्यै तपो दमः कर्मेति प्रतिष्ठा वेदाः सर्वाङ्गानि सत्यमायतनम् ।। 4.1.8 ।। 
Karika Upanishad,अन्तःस्थानात्तु भेदानां तस्माज्जागरिते स्मृतम् ।यथा तत्र तथा स्वप्ने संवृतत्वेन भिद्यते ।। 2.1.4 ।।
Taittiriya Upanishad,प्राणो ब्रह्मेति व्यजानात्। प्राणाद्ध्येव खल्विमानि भूतानि जायन्ते। प्राणेन जातानि जीवन्ति। प्राणं प्रयन्त्यभिसंविशन्तीति। तद्विज्ञाय। पुनरेव वरुणं पितरमुपससार। अधीहि भगवो ब्रह्मेति।  त्ँहोवाच। तपसा ब्रह्म विजिज्ञासस्व। तपो ब्रह्मेति। स तपोऽतप्यत। स तपस्तप्त्वा।।3.3.1।।
Prasna Upanishad,हृदि ह्येष आत्मा। अत्रैतदेकशतं नाडीनां तासां शतं शतमेकैकस्यां द्वासप्ततिर्द्वासप्ततिः प्रतिशाखानाडी सहस्राणि भवन्त्यासु व्यानश्चरति।।3.1.6।।
Katha Upanishad,"न सांपरायः प्रतिभाति बालं प्रमाद्यन्तं वित्तमोहेन मूढं ।,अयं लोको नास्ति पर इति मानी पुनः पुनवर्शमापद्यते मे ।। 1.2.6 ।।"
Svetashvatra Upanishad,"एको हि रुद्रो न द्वितीयाय तस्थुर्य,   इमाँल्लोकानीशत ईशनीभिः।,प्रत्यङ्जनांस्तिष्ठति संचुकोचान्तकाले,   संसृज्य विश्वा भुवनानि गोपाः।।3.1.2।।"
Brihadaranyaka Upanishad,यस्ँयामृचि तामृचं यदार्षेयं तमृषिं यां देवतामभिष्टोष्यन्स्यात्तां देवतामधावेत् ।। 1.3.9 ।। 
Mundaka Upanishad,धनुर्गृहीत्वौपनिषदं महास्त्रं शरं ह्युपासानिशितं संधयीत।  आयम्य तद्भावगतेन चेतसा लक्ष्यं तदेवाक्षरं सोम्य विद्धि।।2.2.3।।
Kena Upanishad,यो वा एतामेवं वेदापहत्य पाप्मानमनन्ते स्वर्गे लोके ज्येये प्रतितिष्ठति प्रतितिष्ठति ।। 4.1.9 ।। 
Karika Upanishad,स्वप्नजागरिते स्थाने ह्येकमाहुर्मनीषिणः ।भेदानां हि समत्वेन प्रसिद्धेनैव हेतुना ।। 2.1.5 ।।
Taittiriya Upanishad,"मनो ब्रह्मेति व्यजानात्। मनसा ह्येव खल्विमानि भूतानि जायन्ते। मनसा जातानि जीवन्ति। मनः प्रयन्त्यभिसंविशन्तीति। तद्विज्ञाय। पुनरेव वरुणं पितरमुपससार। अधीहि भगवो ब्रह्मेति। त्ँहोवाच। तपसा ब्रह्म विजिज्ञासस्व। तपो ब्रह्मेति। स ,तपो़ऽतप्यत। स तपस्तप्तवा।।3.4.1।।"
Prasna Upanishad,अथैकयोर्ध्वं उदानः पुण्येन पुण्यं लोकं नयति पापेन पापमुभाभ्यामेव मनुष्यलोकम्।।3.1.7।।
Katha Upanishad,"श्रवणायापि बहुभिर्यो न लभ्यः श्रृण्वन्तोऽपि बहवो यं न विद्युः ।,आश्चर्यो वक्ता कुशलोऽस्य लब्धाऽऽश्चर्यो ज्ञाता कुशलानुशिष्टः ।। 1.2.7 ।।"
Svetashvatra Upanishad,"विश्वतश्चक्षुरुत विश्वतोमुखो विश्वतोबाहुरुत विश्वतस्पात्।,सं बाहुभ्यां धमति संपतत्रैर्द्यावाभूमी जनयन् देव एकः।।3.1.3।।"
Brihadaranyaka Upanishad,"येन च्छन्दसा स्तोष्यन्स्यात्तच्छन्द उपधावेद्येन स्तोमेन स्तोष्यमाणः स्यात्त , स्तोममुपधावेत् , ।। 1.3.10 ।। "
Kena Upanishad,"-- इति चतुर्थः खण्डः ।। , आप्यायन्तु ममाङ्गानि वाक्प्राणश्चक्षुः श्रोत्रमथो बलमिन्द्रियाणि च सर्वाणि। सर्वं ब्रह्मौपनिषदं माहं ब्रह्म निराकुर्यां मा मा ब्रह्म निराकरोदनिराकरणमस्त्वनिराकरणं मेऽस्तु। तदात्मनि निरते य उपनिषत्सु धर्मास्ते मयि सन्तु ते मयि सन्तु ।। , शान्तिः शान्तिः शान्तिः ।। "
Mundaka Upanishad,प्रणवो धनुः शरो ह्यात्मा ब्रह्म तल्लक्ष्यमुच्यते।  अप्रमत्तेन वेद्धव्यं शरवत्तन्मयो भवेत्।।2.2.4।।
Karika Upanishad,आदावन्ते च यन्नास्ति वर्तमानेऽपि तत्तथा ।वितथैः सदृशाः सन्तोऽवितथा इव लक्षिताः ।। 2.1.6 ।।
Taittiriya Upanishad,"विज्ञानं ब्रह्मेति व्यजानात्। विज्ञानाद्ध्येव खल्विमानि भूतानि जायन्ते। विज्ञानेन जातानि जीवन्ति। विज्ञानं प्रयन्त्यभिसंविशन्तीति। तद्विज्ञाय। पुनरेव वरुणं पितरमुपससार। अधीहि भगवो ब्रह्मेति। , त्ँहोवाच। तपसा ब्रह्म विजिज्ञासस्व। तपो ब्रह्मेति। स तपोऽतप्यत। स तपस्तप्त्वा।।3.5.1।।"
Prasna Upanishad,आदित्यो ह वै बाह्यः प्राण उदत्येष ह्येनं चाक्षुषं प्राणमनु गृह्णानः। पृथिव्यां या देवता सैषा पुरूषस्यापानमवष्टभ्यान्तरा यदाकाशः स समानो वायुर्व्यानः।।3.1.8।।
Katha Upanishad,"न नरेणावरेण प्रोक्त एष सुविज्ञेयो बहुधा चिन्त्यमानः ।,अनन्यप्रोक्ते गतिरत्र नास्त्यणीयान् ह्यतर्क्यमणु प्रमाणात् ।। 1.2.8 ।।"
Svetashvatra Upanishad,"यो देवानां प्रभवश्चोद्भवश्च विश्वाधिपो रुद्रो महर्षिः।,हिरण्यगर्भं जनयामास पूर्वं स नो बुद्ध्या शुभया संयुनक्तु।।3.1.4।।"
Brihadaranyaka Upanishad,यां दिशमभिष्टोष्यन्स्यात्तां दिशमुपधावेत् ।। 1.3.11 ।।
Kena Upanishad,"0केन उपनिषद्, आप्यायन्तु ममाङ्गानि वाक्प्राणश्चक्षुः श्रोत्रमथो बलमिन्द्रियाणि च सर्वाणि। सर्वं ब्रह्मौपनिषदं माहं ब्रह्म निराकुर्यां मा मा ब्रह्म निराकरोदनिराकरणमस्त्वनिराकरणं मेऽस्तु। तदात्मनि निरते य उपनिषत्सु धर्मास्ते मयि सन्तु ते मयि सन्तु ।।, शान्तिः शान्तिः शान्तिः ।।,प्रथमः खण्डः, केनेषितं पतति प्रेषितं मनः केन प्राणः प्रथमः प्रैति युक्तः ।,केनेषितां वाचमिमां वदन्ति चक्षुः श्रोत्रं क उ देवो युनक्ति ।। 1.1.1 ।।"
Mundaka Upanishad,यस्मिन्द्यौः पृथिवी चान्तरिक्षमोतं मनः सह प्राणैश्च सर्वैः।  तमेवैकं जानथ आत्मानमन्या वाचो विमुञ्चथामृतस्यैष सेतुः।।2.2.5।।
Karika Upanishad,सप्रयोजनता तेषां स्वप्ने विप्रतिपद्यते ।तस्मदाद्यन्तवत्त्वेन मिथ्यैव खलु ते स्मृताः ।। 2.1.7 ।।
Taittiriya Upanishad,आनन्दो ब्रह्मेति व्यजानात्। आनन्दाद्ध्येव खल्विमानि भूतानि जायन्ते। आनन्देन जातानि जीवन्ति। आनन्दं प्रयन्त्यभिसंविशन्तीति। सैषा भार्गवी वारुणी विद्या। परमे व्योमन् प्रतिष्ठिता। स य एवं वेद प्रतितिष्ठति। अन्नवानन्नादो भवति। महान् भवति प्रजया पशुभिर्ब्रह्मवर्चसेन। महान् कीर्त्या।।3.6.1।।
Prasna Upanishad,तेजो ह वाव उदानस्तस्मादुपशान्ततेजाः। पुनर्भवमिन्द्रियैर्मनसि संपद्यमानैः।।3.1.9।।
Katha Upanishad,"नैषा तर्केण मतिरापनेया प्रोक्ताऽन्येनैव सुज्ञानाय प्रेष्ठ ।,यां त्वमापः सत्यधृतिर्बतासि त्वादृङ्नो भूयान्नचिकेतः प्रष्टा ।। 1.2.9 ।।"
Svetashvatra Upanishad,"या ते रुद्र शिवा तनूरघोराऽपापकाशिनी।,तया नस्तनुवा शन्तमया गिरिशन्ताभिचाकशीहि।।3.1.5।।"
Brihadaranyaka Upanishad,"आत्मानमन्तत उपसृत्य स्तुवीत कामं ध्यायन्नप्रमत्तोऽभ्याशो ह यदस्मै स कामः समृध्येत यत्कामः स्तुवीतेति यत्कामः स्तुवीतेति ।। 1.3.12 ।।  इति तृतीयाः खण्डः ।। 3 ।।,  "
Mundaka Upanishad,अरा इव रथनाभौ संहता यत्र नाड्यः स एषोऽन्तश्चरते बहुधा जायमानः। ओमित्येवं ध्यायथ आत्मानं स्वस्ति वः पाराय तमसः परस्तात्।।2.2.6।।
Taittiriya Upanishad,अन्नं न निन्द्यात्। तद्व्रतम्। प्राणो वा अन्नम्। शरीरमन्नादम्। प्राणे शरीरं प्रतिष्ठितम्। शरीरे प्राणः प्रतिष्ठितः। तदेतदन्नमन्ने प्रतिष्ठितम्। स य एतदन्नमनने प्रतिष्ठितं वेद प्रतितिष्ठति। अन्नवानन्नादो भवति। महान् भवति प्रजया पशुभिर्ब्रह्मवर्चसेन। महान् कीर्त्या।।3.7.1।।
Karika Upanishad,अपूर्वं स्थानिधर्मो हि यथा स्वर्गनिवासिनाम् ।तानयं प्रेक्षते गत्वा यथैवेह सुशिक्षितः ।। 2.1.8 ।।
Prasna Upanishad,यच्चित्तस्तेनैष प्राणमायाति। प्राणस्तेजसा युक्तः सहात्मना यथासंकल्पितं लोकं नयति।।3.1.10।।
Katha Upanishad,"जानाम्यह्ँशेवधिरित्यनित्यं न ह्यध्रुवैः प्राप्यते हि ध्रुवं तत् ।,ततो मया नचिकेतश्चितोऽग्निरनित्यैर्द्रव्यैः प्राप्तवानस्मि नित्यम् ।। 1.2.10 ।।"
Svetashvatra Upanishad,"यामिषुं गिरिशन्त हस्ते बिभर्ष्यस्तवे।,शिवां गिरित्र तां कुरु मा हि्ँसीः पुरुषं जगत्।।3.1.6।।"
Brihadaranyaka Upanishad,ओमित्येतदक्षरमुद्गीथमुपासीतोमिति ह्युद्गायति तस्योपव्याख्यानम् ।। 1.4.1 ।। 
Mundaka Upanishad,"यः सर्वज्ञः सर्वविद्यस्यैष महिमा भुवि।  दिव्ये ब्रह्मपुरे ह्येष व्योम्न्यात्मा प्रतिष्ठितः।  ,मनोमयः प्राणशरीरनेता प्रतिष्ठितोऽन्ने हृदयं संनिधाय।  तद्विज्ञानेन परिपश्यन्ति धीरा आनन्दरूपममृतं यद्विभाति।।2.2.7।।"
Taittiriya Upanishad,"अन्नं न परिचक्षीत। तद्व्रतम्। आपोवा अन्नम्। ज्योतिरन्नादम्। अप्सु ज्योतिः प्रतिष्ठितम्। ज्योतिष्यापः प्रतिष्ठिताः। तदेतदन्नमन्ने प्रतिष्ठितम्। स य एतदन्नमन्ने प्रतिष्ठितं वेद प्रतितिष्ठति। अन्नवानन्नादो भवति। महान् भवति प्रजया पशुभिर्ब्रह्मवर्चसेन। महान् कीर्त्या।।3.8.1।।, "
Prasna Upanishad,य एवं विद्वान्प्राणं वेद न हास्य प्रजा हीयतेऽमृतो भवति तदेषः श्लोकः।।3.1.11।।
Karika Upanishad,स्वप्नवृत्तावपि त्वन्तश्चेतसा कल्पितं त्वसत् ।बहिश्चेतो गृहीतं सद्दृष्टं वैतथ्यमेतयोः ।। 2.1.9 ।।
Svetashvatra Upanishad,"ततः परं ब्रह्मपरं बृहन्तं यथानिकायं सर्वभूतेषु गूढम्।,विश्वस्यैकं परिवेष्टितारमीशं तं ज्ञात्वाऽमृता भवन्ति।।3.1.7।।"
Katha Upanishad,"कामस्याप्तिं जगतः प्रतिष्ठां क्रतोरानन्त्यमभयस्य पारम् ।,स्तोमं महदुरुगायं प्रतिष्ठां दृष्ट्वा धृत्या धीरो नचिकेतोऽत्यस्राक्षीः ।। 1.2.11 ।।"
Brihadaranyaka Upanishad,"देवा वै मृत्योर्बिभ्यतस्त्रयीं विद्यां प्राविश , स्ते छन्दोभिरच्छादयन्यदेभिरच्छादयँ् , स्तच्छन्दसां छन्दस्त्वम् ।। 1.4.2 ।। "
Mundaka Upanishad,भिद्यते हृदयग्रन्थिश्छिद्यन्ते सर्वसंशयाः।  क्षीयन्ते चास्य कर्माणि तस्मिन्दृष्टे परावरे।।2.2.8।।
