title,mantra
Aitereya Upanishad,तच्छिश्नेनाजिघृक्षत् तन्नाशक्नोच्छिश्नेन ग्रहीतुम्। स यद्धैनच्छिश्नेनाग्रहैष्यद्विसृज्य हैवान्नमत्रप्स्यत्।।1.3.9।।
Prasna Upanishad,"तेषामसौ विरजो ब्रह्मलोको न येषु जिह्ममनृतं न माया चेति।।1.1.16।।,।।इति प्रथमः प्रश्नः।।"
Mundaka Upanishad,अविद्यायामन्तरे वर्तमानाः स्वयं धीराः पण्डितं मन्यमानाः। जङ्घन्यमानाः परियन्ति मूढा अन्धेनैव नीयमाना यथान्धाः।।1.2.8।।
Katha Upanishad,"त्रिणाचिकेतस्त्रयमेतद् विदित्वा य एवं विद्वा्ँश्चिनुते नाचिकेतम् ।,स मृत्युपाशान् पुरतः प्रणोद्य शोकातिगो मोदते स्वर्गलोके ।। 1.1.18 ।।"
Brihadaranyaka Upanishad,"एवं यथाश्मानमाखणमृत्वा विध्व , सत एवँ , हैव , स , विध्व , सते , य एवंविदि पापं कामयते यश्चैनमभिदासति स एषोऽश्माखणः ।। 1.2.8 ।। "
Isavasya Upanishad,"अग्ने नय सुपथा राये अस्मान्विश्वानि देव वयुनानि विद्वान् ।,युयोध्यस्मज्जुहुराणमेनो भूयिष्ठां ते नम उक्तिं विधेम ।। 1.1.18 ।।"
Kena Upanishad,तदभ्यद्रवत्तमभ्यवदत्कोऽसीत्यग्निर्वा अहमस्मीत्यब्रवीज्जातवेदा वा अहमस्मीति ।। 3.1.4।। 
Karika Upanishad,प्रपञ्चो यदि विद्येत निवर्तेत न संशयः ।मायामात्रमिदं द्वैतमद्वैतं परमार्थतः ।। 1.1.17 ।।
Taittiriya Upanishad,"पृथिव्यन्तिरक्षं द्यौर्दिशोऽवान्तरदिशाः। अग्निर्वायुरादित्यश्चन्द्रमा नक्षत्राणि। आप ओषधयो वनस्पतय आकाश आत्मा। इत्यधिभूतम्। अथाध्यात्मम्। प्राणो व्यानोऽपान उदानः समानः। चक्षुः श्रोत्रं मनोवाक् त्वक्। चर्म , मा्ँस्ँ स्नावास्थिमज्जा। एतदधि विधाय ऋषिरवोचत्। पाङ्त्कं वा इद्ँ सर्वम्। पाङ्त्केनैव पाङ्त्क्ँ स्पृणोतीति। (सर्वमेकं च)।।1.7.1।।"
Prasna Upanishad,अथ हैनं भार्गवो वैदर्भिः पप्रच्छ भगवन्कत्येव देवाः प्रजां विधारयन्ते कतर एतत्प्रकाशयन्ते कः पुनरेषां वरिष्ठ इति।।2.1.1।।
Svetashvatra Upanishad,"युक्त्वाय मनसा देवान्सुवर्यतो धियां दिवम्।,बृहज्ज्योतिः करिष्यतः सविता प्रसुवाति तान्।।2.1.3।।"
Aitereya Upanishad,तदपानेनाजिघृक्षत्। तदावयत्। सैषोऽन्नस्य ग्रहो यद्वायुरन्नायुर्वा एष यद्वायुः।।1.3.10।।
Mundaka Upanishad,अविद्यायां बहुधा वर्तमाना वयं कृतार्था इत्यभिमन्यन्ति बालाः।  यत्कर्मिणो न प्रवेदयन्ति रागात्तेनातुराः क्षीणलोकाश्चयवन्ते ।।1.2.9।।
Katha Upanishad,"एष तेऽग्निर्नचिकेतः स्वर्ग्यो यमवृणीथा द्वितीयेन वरेण ।,एतमग्निं तवैव प्रवक्ष्यन्ति जनासस्तृतीयं वरं नचिकेतो वृणीष्व ।। 1.1.19 ।।"
Brihadaranyaka Upanishad,नैवैतेन सुरभि न दुर्गन्धि विजानात्यपहतपाप्मा ह्येष तेन यदश्नाति यत्पिबति तेनेतरान्प्राणानवति ।  एतमु एवान्ततोऽवित्त्वोक्रामति व्याददात्येवान्तत इति ।। 1.2.9 ।। 
Kena Upanishad,तस्िम्ँ स्त्वयि किं वीर्यमित्यपीद्ँसर्वं दहेयं यदिदं पृथिव्यामिति ।। 3.1.5 ।।
Taittiriya Upanishad,"ओमिति ब्रह्म। ओमितीद्ँ सर्वम्। ओमित्येतदनुकृतिर्ह स्म वा अप्योश्रावयेत्याश्रावयन्ति। ओमिति सामानि गायन्ति। ओ्ँशोमिति शस्त्राणि श्ँसन्ति , । ओमित्यध्वर्युः प्रतिगरं प्रतिगृणाति। ओमिति ब्रह्म प्रसौति। ओमित्यग्निहोत्रमनुजानाति। ओमिति ब्राह्मणः प्रवक्ष्यन्नाह ब्रह्मोपाप्नवानीति। ब्रह्मैवोपाप्नोति।।1.8.1।।"
Karika Upanishad,विकल्पो विनिवर्तेत कल्पितो यदि केनचित् ।उपदेशादयं वादो ज्ञाते द्वैतं न विद्यते ।। 1.1.18 ।।
Svetashvatra Upanishad,"युञ्जते मन उत युञ्जते धियो विप्रा विप्रस्य बृहतो विपश्चितः।,वि होत्रा दधे वयुनाविदेक इन्मही देवस्य सवितुः परिष्टुतिः।।2.1.4।।"
Aitereya Upanishad,स ईक्षत कथं न्विदं मदृते स्यादिति स ईक्षत कतरेण प्रपद्या इति। स ईक्षत यदि वाचाऽभिव्याहृतं यदि प्राणेनाभिप्राणितं यदि चक्षुषा दृष्टं यदि श्रोत्रेण श्रुतं यदि त्वचा स्पृष्टं यदि मनसा ध्यातं यद्यपानेनाभ्यपानितं यदि शिश्नेन विसृष्टमथ कोऽहमिति।।1.3.11।।
Mundaka Upanishad,इष्टापूर्तं मन्यमाना वरिष्ठं नान्यच्छ्रेयो वेदयन्ते प्रमूढाः।  नाकस्य पृष्ठे ते सुकृतेऽनुभूत्वेमं लोकं हीनतरं वा विशन्ति।।1.2.10।।
Prasna Upanishad,तस्मै स होवाचाकाशो ह वा एष देवो वायुरग्निरापः पृथिवी वाङ्मनश्चक्षुः क्षोत्रं च। ते प्रकाश्याभिवदन्ति वयमेतद्बाणमवष्टभ्य विधारयामः।।2.1.2।।
Katha Upanishad,"येयं प्रेते विचिकित्सा मनुष्येऽस्तीत्येके नायमस्तीतिं चैके ।,एतद् विद्यामनुशिष्टस्त्वयाऽहं वराणामेष वरस्तृतीयः ।। 1.1.20 ।।"
Brihadaranyaka Upanishad,"तँ् , हाङ्गिरा उद्गीथमुपासाञ्चक्रं एतमु एवाङ्गिरसं मन्यन्तेऽङ्गानां यद्रसः ।। 1.2.10 ।। "
Kena Upanishad,तस्मै तृणं निदधावेतद्दहेति ।  तदुपप्रेयाय सर्वजवेन तन्न शशाक दग्धुं स तत एव निववृते नैतदशकं विज्ञातुं यदेतद्यक्षमिति ।। 3.1.6 ।।
Taittiriya Upanishad,ऋतं च स्वाध्यायप्रवचने च। सत्यं च स्वाध्यायप्रवचने च। तपश्च स्वाध्यायप्रवचने च। दमश्च स्वाध्यायप्रवचने च। शमश्च स्वाध्यायप्रवचने च। अग्नयश्च स्वाध्यायप्रवचने च। अग्निहोत्रं च स्वाध्यायप्रवचने च। अतिथयश्च स्वाध्यायप्रवचने च। मानुषं च स्वाध्यायप्रवचने च। प्रजा च स्वाध्यायप्रवचने च। प्रजनश्च स्वाध्यायप्रवचने च। प्रजातिश्च स्वाध्यायप्रवचने च। सत्यमिति सत्यवचा राथीतरः। तप  इति तपोनित्यः पौरुशिष्टिः। स्वाध्यायप्रवचने एवेति नाको मौद्गल्यः। तद्धि तपस्तद्धि तपः।।1.9.1।।
Karika Upanishad,विश्वस्यात्वविवक्षायामादिसामान्यमुत्कटम् ।मात्रासंप्रतिपत्तौ स्यादाप्तिसामान्यमेव च ।। 1.1.19 ।।
Svetashvatra Upanishad,"युजे वां ब्रह्म पूर्व्यं नमोभिर्विश्लोक एतु पथ्येव सूरोः।,श्रृण्वन्तु विश्वे अमृतस्य पुत्रा आ ये धामानि दिव्यानि तस्थुः।।2.1.5।।"
Mundaka Upanishad,तपःश्रद्धे ये ह्युपवसन्त्यरण्ये शान्ता विद्वांसो भैक्षचर्यां चरन्तः।  सूर्यद्वारेण ते विरजाः प्रयान्ति यत्रामृताः स पुरूषो ह्यव्ययात्मा।।1.2.11।।
Aitereya Upanishad,स एतमेव सीमानं विदार्यैतया द्वारा प्रापद्यत। सैषा विदृतिर्नाम द्वास्तदेतन्नान्दनम्। तस्य त्रय आवसथास्त्रयः स्वप्ना अयमावसथोऽयमावसथोऽयमावसथ इति।।1.3.12।।
Prasna Upanishad,तान्वरिष्ठः प्राण उवाच मा मोहमापद्यथा अहमेवैतत्पञ्चधात्मानं प्रविभज्यैतद्बाणमवष्टभ्य विधारयामीति तेऽश्रद्दधाना बभूवुः।।2.1.3।।
Katha Upanishad,"देवैरत्रापि विचिकित्सितं पुरा न हि सुविज्ञेयमणुरेष धर्मः ।,अन्यं वरं नचिकेतो वृणीष्व मा मोपरोत्सीरति मा सृजैनम् ।। 1.1.21 ।।"
Brihadaranyaka Upanishad,"तेन तँ् , ह बृहस्पतिरुद्गीथमुपासाञ्चक्रं एतमु एव बृहस्पतिं मन्यन्ते वाग्धि बृहती तस्या एष पतिः ।। 1.2.11 ।। "
Kena Upanishad,अथ वायुमब्रुवन्वायवेतद्विजानीहि किमेतद्यक्षमिति तथेति ।। 3.1.7 ।।
Taittiriya Upanishad,अहं वृक्षस्य रेरिवा। कीर्तिः पृष्ठं गिरेरिव। ऊर्ध्व पवित्रो वाजिनीव स्वमृतमस्मि। द्रविण्ँ सवर्चसम्। सुमेधा अमृतोक्षितः। इति त्रिशङ्कोर्वेदानुवचनम्।।1.10.1।।
Karika Upanishad,तैजसस्योत्वविज्ञान उत्कर्षो दृश्यते स्फुटम् ।मात्रासंप्रतिपत्तौ स्यादुभयत्वं तथाविधम् ।। 1.1.20 ।।
Svetashvatra Upanishad,"अग्निर्यत्राभिमथ्यते वायुर्यत्राधिरुध्यते।,सोमो यत्रातिरिच्यते तत्र संजायते मनः।।2.1.6।।"
Mundaka Upanishad,परीक्ष्य लोकान्कर्मचितान्ब्राह्मणो निर्वेदमायान्नास्त्यकृतः कृतेन।  तद्विज्ञानार्थं स गुरूमेवाभिगच्छेत्समित्पाणिः श्रोत्रियं ब्रह्मनिष्ठम्।।1.2.12।।
Aitereya Upanishad,स जातो भूतान्यभिव्यैख्यत् किमिहान्यं वावदिषदिति। स एतमेव पुरूषं ब्रह्म ततममपश्यदिदमदर्शमिती ।।1.3.13।।
Prasna Upanishad,सोऽभिमानादूर्ध्वमुत्क्रमत इव तस्मिन्नुत्क्रामत्यथेतरे सर्व एवोत्क्रामन्ते तस्िम्ँश्च प्रतिष्ठमाने सर्व एव प्रातिष्ठन्ते। तद्यथा मक्षिका मधुकरराजानमुत्क्रामन्तं सर्वा एवोत्क्रामन्ते एवमस्मिंश्च प्रतिष्ठमाने सर्वा एव प्रतिष्ठन्त एवं वाङ्मनश्चक्षुः श्रोत्रं च ते प्रीताः प्राणं स्तुन्वन्ति।।2.1.4।।
Katha Upanishad,"देवैरत्रापि विचिकित्सितं किल त्वं च मृत्यो यन्न सुविज्ञेयमात्थ ।,वक्ता चास्य त्वादृगन्यो न लभ्यो नान्यो वरस्तुल्य एतस्य कश्चित् ।। 1.1.22 ।।"
Kena Upanishad,तदभ्यद्रवत्तमभ्यवदत्कोऽसीति वायुर्वा अहमस्मीत्यब्रवीन्मातरिश्वा वा अहमस्मीति ।। 3.1.8।।
Brihadaranyaka Upanishad,"तेन तँ् , हायास्य उद्गीथमुपासाञ्चक्र एतमु एवायास्यं मन्यन्त आस्याद्यदयते ।।,1.2.12 ।। "
Karika Upanishad,मकारभावे प्राज्ञस्य मानसामान्यमुत्कटम् ।मात्रासंप्रतिपत्तौ तु लयसामान्यमेव च ।। 1.1.21 ।।
Svetashvatra Upanishad,"सवित्रा प्रसवेन जुषेत ब्रह्म पूर्व्यम्। ,तत्र योनिं कृण्वसे न हि ते पूर्वमक्षिपत्।।2.1.7।।"
Mundaka Upanishad,तस्मै स विद्वानुपसन्नाय सम्यक् प्रशान्तचित्ताय शमान्विताय।  येनाक्षरं पुरूषं वेद सत्यं प्रोवाच तां तत्त्वतो ब्रह्मविद्याम्।।1.2.13।।
Aitereya Upanishad,तस्मादिदन्द्रो नामेदन्द्रो ह वै नाम। तमिदन्द्रं सन्तमिन्द्र इत्याचक्षते परोक्षेण। परोक्षप्रिया इव हि देवाः परोक्षप्रिया इव हि देवाः।।1.3.14।।
Prasna Upanishad,एषोऽग्निस्तपत्येष सूर्य एष पर्जन्यो मघवानेष वायुः। एष पृथिवी रयिर्देवः सदसच्चामृतं च यत्।।2.1.5।।
Kena Upanishad,तस्मि्ँ स्त्वाम किं वीर्यमित्यपीद्ँसर्वमाददीय यदिदं पृथिव्यामिति ।। 3.1.9 ।।
Katha Upanishad,"शतायुषः पुत्रपौत्रान् वृणीष्व बहून् पशून् हस्तिहिरण्यमश्वान् ।,भूमेर्महदायतनं वृणीष्व स्वयं च जीव शरदो यावदिच्छसि ।। 1.1.23 ।।"
Brihadaranyaka Upanishad,"तेन तँ् ह , बको दाल्भ्यो विदाञ्चकार ।  स ह नैमिषीयानामुद्गाता बभूव स ह स्मैभ्यः कामानागायति ।। 1.2.13 ।। "
Svetashvatra Upanishad,"त्रिरुन्नतं स्थाप्य समं शरीरं हृदीन्द्रियाणि मनसा संनिरुध्य।,ब्रह्मोडुपेन प्रतरेत विद्वान्स्रोतांसि सर्वाणि भयावहानि।।2.1.8।।"
Karika Upanishad,त्रिषु धामसु यस्तुल्यं सामान्यं वेत्ति निश्चितः ।स पूज्यः सर्वभूतानां वन्द्यश्चैव महामुनिः ।। 1.1.22 ।।
Mundaka Upanishad,तदेतत्सत्यं यथा सुदीप्तात्पावकाद्विस्फुलिङ्गाः सहस्रशः प्रभवन्ते सरूपाः।  तथाक्षराद्विविधाः सोम्य भावाः प्रजायन्ते तत्र चैवापियन्ति।।2.1.1।।
Aitereya Upanishad, पुरूषे ह वा अयमादितो गर्भो भवति। यदेतद्रेतस्तदेतत्सर्वेभ्योऽङ्गेभ्यस्तेजः संभूतमात्मन्येवात्मानं बिभर्ति तद्यथा स्त्रियां सिञ्चत्यथैनज्जनयति तदस्य प्रथमं जन्म।।1.4.1।।
Prasna Upanishad,"अरा इव रथनाभौ प्राणे सर्वं प्रतिष्ठितम्।,ऋचो यजू्ँषि सामानि यज्ञः क्षत्रं ब्रह्म च।।2.1.6।।"
Kena Upanishad,तस्मै तृणं निदधावेतदादत्स्वेति तदुपप्रेयाय सर्वजवेन तन्न शशाकादातुं स तत एव निववृते नैतदशकं विज्ञातुं यदेतद्यक्षमिति।। 3.1.10 ।।
Katha Upanishad,"एतत्तुल्यं यदि मन्यसे वरं वृणीष्व वित्तं चिरजीविकां च ।,महाभूमौ नचिकेतस्त्वमेधि कामानां त्वा कामभाजं करोमि ।। 1.1.24 ।।"
Svetashvatra Upanishad,"प्राणान्प्रपीड्येह संयुक्तचेष्टः क्षीणे प्राणे नासिकयोच्छ्वसीत।,दुष्टाश्वयुक्तमिव वाहमेनं विद्वान्मनो धारयेताप्रमत्तः।।2.1.9।।"
Brihadaranyaka Upanishad,आगाता ह वै कामानां भवति य एतदेवं विद्वानक्षरमुद्गीथमुपास्त इत्यध्यात्मम् ।। 1.2.14 ।। इति द्वितीयः खण्डः ।। 2 ।।   
Karika Upanishad,अकारो नयते विश्वमुकारश्चापि तैजसम् ।मकारश्च पुनः प्राज्ञं नामात्रे विद्यते गतिः ।। 1.1.23 ।। इति
Mundaka Upanishad,दिव्यो ह्यमूर्तः पुरूषः सबाह्याभ्यन्तरो ह्यजः।  अप्रणो ह्यमनाः शुभ्रो ह्यक्षरात्परतः परः।।2.1.2।।
Aitereya Upanishad,तत्स्त्रिया आत्मभूयं गच्छति यथा स्वमङ्गं तथा। तस्मादेनां न हिनस्ति सास्यैतमात्मानमत्र गतं भावयति।।1.4.2।।
Prasna Upanishad,"प्रजापतिश्चरसि गर्भे त्वमेव प्रतिजायसे।,तुभ्यं प्राण प्रजास्त्विमा बलिं हरन्ति यः प्राणैः प्रतितिष्ठसि।।2.1.7।।"
Kena Upanishad,अथेन्द्रमब्रुवन्मघवन्नेतद्विजानीहि किमेतद्यक्षमिति तथेति तदभ्यद्रवत्तस्मात्तिरोदधे ।। 3.1.11 ।।
Katha Upanishad,"ये ये कामा दुर्लभा मर्त्यलोके सर्वान् कामा्ँश्छन्दतः प्रार्थयस्व ।,इमा रामाः सरथाः सतूर्या न हीदृशा लम्भनीया मनुष्यैः ।,आभिर्मत्प्रत्ताभिः परिचारयस्व नचिकेतो मरणं माऽनुप्राक्षीः ।। 1.1.25 ।।"
Svetashvatra Upanishad,"समे शुचौ शर्करावह्निवालुका विवर्जिते शब्दजलाश्रयादिभिः।,मनोनुकूले न तु चक्षुपीडने गुहानिवाताश्रयणे प्रयोजयेत्।।2.1.10।।"
Brihadaranyaka Upanishad,"अथाधिदैवतं य एवासौ तपति तमुद्गीथमुपासीतोद्यन्वा एष प्रजाभ्य उद्गायति ।  उद्य , स्तमो भयमपहन्त्यपहन्ता ह वै भयस्य तमसो भवति य एवं वेद ।। 1.3.1 ।।"
Karika Upanishad,ओंकारं पादशो विद्यात्पादा मात्रा न संशयः ।ओंकारं पादशो ज्ञात्वा न किंचिदपि चिन्तयेत् ।। 1.1.24 ।।
Mundaka Upanishad,एतस्माज्जायते प्राणो मनः सर्वेन्द्रियाणि च। खं वायुर्ज्योतिरापः पृथिवी विश्वस्य धारिणी।।2.1.3।।
Aitereya Upanishad,सा भावयित्री भावयितव्या भवति तं स्त्री गर्भं बिभर्ति सोऽग्र एव कुमारं जन्मनोऽग्रेऽधिभावयति। स यत्कुमारं जन्मनोऽग्रेऽधिभावयत्यात्मानमेव तद्भावयत्येषां लोकानां सन्तत्या एवं सन्तता हीमे लोकास्तदस्य द्वितीयं जन्म।।1.4.3।।
Prasna Upanishad,"देवानामसि वह्नितमः पितृणां प्रथमा स्वधा।,ऋषीणां चरितं सत्यमथर्वाङ्गिरसामसि।।2.1.8।।"
Kena Upanishad,"स तस्मिन्नेवाकाशे स्त्रियमाजगाम बहुशोभमानामुमा्ँ हैमवतीं ता्ँहोवाच किमेतद्यक्षमिति ।। 3.1.12 ।।,।। इति तृतीयः खण्डः ।।"
Katha Upanishad,"श्वोभावा मर्त्यस्य यदन्तकैतत् सर्वेन्द्रियाणां जरयन्ति तेजः ।,अपि सर्वं जीवितमल्पमेव तवैव वाहास्तव नृत्यगीते ।। 1.1.26 ।।"
Svetashvatra Upanishad,"नीहारधूमार्कानलानिलानां खद्योतविद्युत्स्फटिकशशीनाम्।,एतानि रूपाणि पुरस्सराणि ब्रह्मण्यभिव्यक्तिकराणि योगे।।2.1.11।।"
Brihadaranyaka Upanishad,समान उ एवाचं चासौ चोष्णोऽयमुष्णोऽसौ स्वर इतीममाचक्षते स्वर इति प्रत्यास्वर इत्युमं तस्माद्वा एतमिममसुं चोद्गीथमुपासीत ।। 1.3.2 ।। 
Karika Upanishad,युञ्जीत प्रणवे चेतः प्रणवो ब्रह्म निर्भयम् ।प्रणवे नित्ययुक्तस्य न भयं विद्यते क्वचित् ।। 1.1.25 ।।
Mundaka Upanishad,अग्निर्मूर्धा चक्षुषी चन्द्रसूर्यौ दिशः श्रोत्रे वाग्विवृताश्च वेदाः।  वायुः प्राणो हृदयं विश्वमस्य पद्भ्यां पृथिवी ह्येष सर्वभूतान्तरात्मा।।2.1.4।।
Aitereya Upanishad,सोऽस्यायमात्मा पुण्येभ्यः कर्मभ्यः प्रतिधीयते। अथास्यायमितर आत्मा कृतकृत्यो वयोगतः प्रैति स इतः प्रयन्नेव पुनर्जायते तदस्य तृतीयं जन्म।।1.4.4।।
Prasna Upanishad,"इन्द्रस्त्वं प्राण तेजसा रुद्रोऽसि परिरक्षिता।,त्वमन्तरिक्षे चरसि सूर्यस्त्वं ज्योतिषां पतिः।।2.1.9।।"
Kena Upanishad,"चतुर्थः खण्डः,सा ब्रह्मेति होवाच ब्रह्मणो वा एतद्विजये महीयध्वमिति ततो हैव विदांचकार ब्रह्मेति ।। 4.1.1 ।।"
Katha Upanishad,"न वित्तेन तर्पणीयो मनुष्यो लप्स्यामहे वित्तमद्राक्ष्म चेत्त्वा ।,जीविष्यामो यावदीशिष्यसि त्वं वरस्तु मे वरणीयः स एव ।। 1.1.27 ।।"
Svetashvatra Upanishad,"पृथिव्यप्तेजोऽनिलखे समुत्थिते,   पञ्चात्मके योगगुणे प्रवृत्ते।,न तस्य रोगो न जरा न मृत्युः,   प्राप्तस्य योगाग्निमयं शरीरम्।।2.1.12।।"
Brihadaranyaka Upanishad,अथ खलु व्यानमेवोद्गीथमुपासीत यद्वै प्राणिति स प्राणो यदपानिति सोऽपानः ।  अथ यः प्राणापानयोः सन्धिः स व्यानो यो व्यानः सा वाक् ।  तस्मादप्राणन्ननपानन्वाचमभिव्याहरति ।। 1.3.3 ।। 
Karika Upanishad,प्रणवो ह्यपरं ब्रह्म प्रणवश्च परं स्मृतः ।अपूर्वोऽनन्तरोऽबाह्योऽनपरः प्रणवोऽव्ययः ।। 1.1.26 ।।
Mundaka Upanishad,तस्मादग्निः समिधो यस्य सूर्यः सोमात्पर्जन्य ओषधयः पृथिव्याम्।  पुमान् रेतः सिञ्चति योषितायां बह्वी प्रजाः पुरूषात्संप्रसूताः।।2.1.5।।
Aitereya Upanishad,तदुक्तमृषिणा। गर्भे नु सन्नन्वेषामवेदमहं देवानां जनिमानि विश्वा। शतं मा पुर आयसीररक्षन्नधः श्येनो जवसा निरदीयमिति गर्भ एवैतच्छयानो वामदेव एवमुवाच।।1.4.5।।
Prasna Upanishad,"यदा त्वमभिवर्षस्यथेमाः प्राण ते प्रजाः।,आनन्दरूपास्तिष्ठन्ति कामायान्नं भविष्यतीति।।2.1.10।।"
Kena Upanishad,"तस्माद्वा एते देवा अतितरामिवान्यान्देवान्यदग्निर्वायुरिन्द्रस्ते । ,ह्येनन्नेदिष्ठं पस्पर्शुस्ते ह्येनत्प्रथमो विदांचकार ब्रह्मेति ।। 4.1.2 ।। "
Katha Upanishad,"अजीर्यताममृतानामुपेत्य जीर्यन् मर्त्यः क्वधःस्थः प्रजानन् ।,अभिध्यायन् वर्णरतिप्रमोदानतिदीर्घे जीविते को रमेत ।। 1.1.28 ।।"
Svetashvatra Upanishad,"लघुत्वमारोग्यमलोलुपत्वं वर्णप्रसादं स्वरसौष्ठवं च।,गन्धः शुभो मूत्रपुरीषमल्पं योगप्रवृत्तिं प्रथमां वदन्ति।।2.1.13।।"
Brihadaranyaka Upanishad,या वाक्सर्क्तस्मादप्राणन्ननपानन्नृचमभिव्याहरति यर्क्तत्साम तस्मादप्राणन्ननपानन्साम गायति यत्साम स उद्गीथस्तस्मादप्राणन्ननपानन्नुद्गायति ।। 1.3.4 ।। 
Karika Upanishad,सर्वस्य प्रणवो ह्यादिर्मध्यमन्तस्तथैव च ।एवं हि प्रणवं ज्ञात्वा व्यश्नुते तदनन्तरम् ।। 1.1.27 ।।
Mundaka Upanishad,तस्मादृचः साम यजू्ँषि दीक्षा यज्ञाश्च सर्व क्रतवो दक्षिणाश्च।  संवत्सरश्च यजमानश्च लोकाः सोमो यत्र पवते यत्र सूर्यः।।2.1.6।।
Aitereya Upanishad,स एवं विद्वानस्माच्छरीरभेदादूर्ध्व उत्क्रम्यामुष्मिन् स्वर्गे लोके सर्वान् कामानाप्त्वाऽमृतः समभवत् समभवत्।।1.4.6।।
Prasna Upanishad,"व्रात्यस्त्वं प्राणैकर्षिरत्ता विश्वस्य सत्पतिः।,वयमाद्यस्य दातारः पिता त्वं मातरिश्व नः।।2.1.11।।"
Kena Upanishad,तस्माद्वा इन्द्रोऽतितरामिवान्यान्देवान्स ह्येनन्नेदिष्ठं पस्पर्श स ह्येनत्प्रथमो विदांचकार ब्रह्मेति ।। 4.1.3 ।।
Katha Upanishad,"यस्मिन्निदं विचिकित्सन्ति मृत्यो यत् सांपराये महति ब्रूहि नस्तत् ।,योऽयं वरो गूढमनुप्रविष्टो नान्यं तस्मान्नचिकेता वृणीते ।। 1.1.29 ।।,               ।। इति प्रथमेऽध्याये प्रथमा वल्ली ।।		"
Svetashvatra Upanishad,"यथैव बिम्बं मृदयोपलिप्तं तेजोमयं भ्राजते तत्सुधान्तम्।,तद्वात्मतत्वं प्रसमीक्ष्य देही एकः कृतार्थो भवते वीतशोकः।।2.1.14।।"
Brihadaranyaka Upanishad,"अतो यान्यन्यानि वीर्यवन्ति कर्माणि यथाग्नेर्मन्थनमाजेः सरणं दृढस्य धनुष आयमनमप्राणन्ननपान , स्तानि करोत्येतस्य हेतोर्व्यानमेवोद्गीथमुपासीत ।। 1.3.5 ।।"
Karika Upanishad,प्रणवं हीश्वरं विद्यात्सर्वस्य हृदये स्थितम् ।सर्वव्यापिनमोंकारं मत्वा धीरो न शोचति ।। 1.1.28 ।।
Mundaka Upanishad,तस्माच्च देवा बहुधा संप्रसूताः साध्या मनुष्याः पशवो वयांसि।  प्राणापानौ व्रीहियवौ तपश्च क्षद्धा सत्यं ब्रह्मचर्यं विधिश्च।।2.1.7।।
Katha Upanishad,"अन्यच्छ्रेयोऽन्यदुतैव प्रेयस्ते उभे नानार्थे पुरुष्ँसिनीतः ।,तयोः श्रेय आददानस्य साधुर्भवति हीयतेऽर्थाद्य उ प्रेयो वृणीते ।। 1.2.1 ।।"
Aitereya Upanishad,कोऽयमात्मेति वयमुपास्महे कतरः स आत्मा । येन वा पश्यति येन वा शृणोति येन वा गंधानाजिघ्रति येन वा वाचं व्याकरोति येन वा स्वादु चास्वादु च विजानाति।।1.5.1।।
Prasna Upanishad,"या ते तनूर्वाचि प्रतिष्ठिता या श्रोत्रे या च चक्षुषि।,या च मनसि संतता शिवां तां कुरू मोत्क्रमीः।।2.1.12।।"
Kena Upanishad,तस्यैष आदेशो यदेतद्विद्युतो व्यद्युतदा3 इतीन्न्यमीमिषदा3 इत्यधिदैवतम् ।। 4.1.4 ।।
Svetashvatra Upanishad,"यदात्मतत्त्वेन तु ब्रह्मतत्त्वं दीपोपमेनेह युक्तः प्रपश्येत्।,अजं ध्रुवं सर्वतत्त्वैर्विशुद्धं ज्ञात्वा देवं मुच्यते सर्वपाशैः।।2.1.15।।"
Brihadaranyaka Upanishad,"अथ खलूद्गीथाक्षराण्युपासीतोद्गीथ इति प्राण एवोत्प्राणेन ह्युत्तिष्ठति वाग्गीर्वाचो ह गिर इत्याचक्षतेऽन्नं थमन्ने हीद , सर्व , स्थितम् ।। 1.3.6 ।। "
Karika Upanishad,अमात्रोऽनन्तमात्रश्च द्वैतस्योपशमः शिवः ।ओंकारो विदितो येन स मुनिर्नेतरो जनः ।। 1.1.29 ।।
Katha Upanishad,"श्रेयश्च प्रेयश्च मनुष्यमेतस्तौ संपरीत्य विविनक्ति धीरः ।,श्रेयो हि धीरोऽभि प्रेयसो वृणीते प्रेयो मन्दो योगक्षेमाद्वृणीते ।। 1.2.2 ।।"
Mundaka Upanishad,"सप्त प्राणाः प्रभवन्ति तस्मात्सप्तार्चिषः समिधः सप्त होमाः।  सप्त इमे लोका येषु चरन्ति प्राणा गुहाशया निहिताः सप्त सप्त।।,।।2.1.8।।"
Kena Upanishad,अथाध्यात्मं यदेतद्गच्छतीव च मनोऽनेन चैतदुपस्मरत्यभीक्ष्ण्ँ संकल्पः ।। 4.1.5 ।।
Prasna Upanishad,"प्राणस्येदं वशे सर्वं त्रिदिवे यत्प्रतिष्ठितम्।,मातेव पुत्रान् रक्षस्व श्रीश्च प्रज्ञां च विधेहि न इति।।2.1.13।।,।।इति द्वितीयः प्रश्नः।।"
Aitereya Upanishad,यदेतत् हृदयं मनश्चैतत्। संज्ञानमाज्ञानं विज्ञानं प्रज्ञानं मेधा दृष्टिर्धृतिर्मतिर्मनीषा जूतिः स्मृतिः संकल्पः क्रतुरसुः कामो वश इति। सर्वाण्येवैतानि प्रज्ञानस्य नामधेयानि भवन्ति।।1.5.2।।
